2016-11-02 06:14:02,180 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 06:15:41,155 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 06:16:32,157 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 06:17:05,157 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 06:17:21,067 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 06:17:35,173 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 06:21:35,152 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 07:10:06,004 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 07:11:47,147 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 07:14:11,114 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 07:24:14,832 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 07:24:29,149 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 07:30:29,846 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 07:32:05,120 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 07:32:50,149 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 07:33:06,014 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 07:33:23,138 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 08:01:47,124 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
2016-11-02 08:02:02,847 	 <Dispatcher> 	 ERROR 	 upload_a_bundle failed.
